S.NO,IMAGES,PARTICULARS,PCS RATE,GRAM,IMAGE ADRESS
146,,3D EYE SPINNER ,15,8g,https://cdn.quicksell.co/-Mj5BUyTtyTgI5aqzZnV/products/-OTC9K0okYQTeZmL0aIj.jpg
147,,EYE BALL GUMMY SOFT CANDY,10,10g,"https://m.media-amazon.com/images/I/818Pt3QmziL._AC_UF894,1000_QL80_.jpg"
148,,QUAKER WHOLE OATS,700,900g,https://cdn.mafrservices.com/pim-content/UAE/media/product/2222896/1734274803/2222896_main.jpg?im=Resize=376
149,,NUTELLA HAZELNUT SPREAD WITH COCOA,250,180g,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/NI_CATALOG/IMAGES/CIW/2025/9/29/d149b0f9-7e68-4756-9781-feb9d21edcee_13728_1.png"
150,,NUTELLA HAZELNUT SPREAD WITH COCOA,450,350g,https://i5.peapod.com/c/I4/I4NKE.png
151,,ALMARAI CREAMY TASTE,460,200g,https://gulfmarket.in/admin8891450001/uploadimg/1746608034351591acfb82-03ca-4e7b-8e10-be1deed4830f_copy_625x625.jpg.jpg
152,,ALMARAI CREAMY TASTE,899,500g,https://gulfmarket.in/admin8891450001/uploadimg/1746608034351591acfb82-03ca-4e7b-8e10-be1deed4830f_copy_625x625.jpg.jpg
153,,BISCOFF SMOOTH,699,400g,https://m.media-amazon.com/images/I/71bSZLv6VeL.jpg
154,,SONYA PEANUT BUTTER CRUNCHY ,260,510g,https://www.sonyafoods.com/cdn/shop/products/crunchy-peanut-butter.png?v=1551446650
155,,SONYA PEANUT BUTTER CREAMY,260,510g,https://www.sonyafoods.com/cdn/shop/products/creamy-peanut-butter.png?v=1551447098
156,,NUTS CRISP ,399,400g,https://www.shundat.com/cdn/shop/files/9_913fde3b-3dac-4125-a0c3-b37e93bcbe18.jpg?v=1726454539
157,,COFFEE MATE ,380,400g,https://rukminim2.flixcart.com/image/480/640/xif0q/coffee/j/j/t/400-coffee-mate-original-plastic-bottle-1-instant-coffee-nestle-original-imaha8t5jyradbhz.jpeg?q=90
159,,HEINZ APPLE CIDER VINEGAR,480,500ml,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/sgrahoszkbp2fir8ew3c.png?dpr=3&format=auto"
,,MILK POWDER,,,
160,,ANCHOR POWDER,3200,2.25kg ,https://m.media-amazon.com/images/I/61MSINtynKL.jpg
,,SEEDS,,,
162,,ROASTED MAKHANA TOMATO ,159,55g,CAMERA PIC
163,,ROASTED MAKHANA PERI PERI,159,55g,CAMERA PIC
164,,ROASTED MAKHANA MINTY PUDHINA,159,55g,CAMERA PIC
165,,ROASTED MAKHANA CREAM AND ONION,159,55g,CAMERA PIC
166,,FARMLEY MAKHANA ,299,100g,CAMERA PIC
,,DRY FRUITS,,,
167,,PRO PREMIUM APRICOT DRIED WHOLE ,299,250g,"https://www.jiomart.com/images/product/original/492864459/prov-premium-dried-whole-apricots-250-g-product-images-o492864459-p592451470-0-202207082131.jpg?im=Resize=(1000,1000)"
,,JUICE POWDERS,,,
158,,TANG MANGO BOTTLE ,850,750g,https://m.media-amazon.com/images/I/61unbBsyzKL.jpg
168,,TANG ORANGE PACKET ,259,375g,https://m.media-amazon.com/images/I/91goTc9nx1L.jpg
169,,TANG PINEAPPLE PACKET ,259,375g,https://m.media-amazon.com/images/I/81LkX3XqBFL.jpg
170,,TANG TROPICAL PACKET ,259,375g,https://m.media-amazon.com/images/I/61XaYq2aa8L.jpg
171,,TANG LEMON PACKET ,259,375g,"https://m.media-amazon.com/images/I/61DVNNX052L._AC_UF894,1000_QL80_.jpg"
,,CHOCOLATES,,,
